        Frequency / GHz                SZmax(1),Zmax(1)_(wt=0.2)/abs,dB
----------------------------------------------------------------------
                       8                    -0.032379951
                   8.004                      -0.0324535
                   8.008                    -0.032527451
                   8.012                    -0.032601808
                   8.016                    -0.032676574
                    8.02                    -0.032751755
                   8.024                    -0.032827355
                   8.028                    -0.032903379
                   8.032                    -0.032979831
                   8.036                    -0.033056715
                    8.04                    -0.033134037
                   8.044                    -0.033211802
                   8.048                    -0.033290014
                   8.052                    -0.033368678
                   8.056                    -0.033447799
                    8.06                    -0.033527383
                   8.064                    -0.033607433
                   8.068                    -0.033687957
                   8.072                    -0.033768959
                   8.076                    -0.033850443
                    8.08                    -0.033932417
                   8.084                    -0.034014885
                   8.088                    -0.034097852
                   8.092                    -0.034181326
                   8.096                     -0.03426531
                     8.1                    -0.034349812
                   8.104                    -0.034434837
                   8.108                    -0.034520391
                   8.112                     -0.03460648
                   8.116                     -0.03469311
                    8.12                    -0.034780288
                   8.124                    -0.034868021
                   8.128                    -0.034956313
                   8.132                    -0.035045173
                   8.136                    -0.035134606
                    8.14                     -0.03522462
                   8.144                    -0.035315222
                   8.148                    -0.035406417
                   8.152                    -0.035498214
                   8.156                     -0.03559062
                    8.16                    -0.035683641
                   8.164                    -0.035777286
                   8.168                    -0.035871561
                   8.172                    -0.035966475
                   8.176                    -0.036062034
                    8.18                    -0.036158248
                   8.184                    -0.036255123
                   8.188                    -0.036352669
                   8.192                    -0.036450893
                   8.196                    -0.036549803
                     8.2                    -0.036649408
                   8.204                    -0.036749717
                   8.208                    -0.036850739
                   8.212                    -0.036952481
                   8.216                    -0.037054954
                    8.22                    -0.037158167
                   8.224                    -0.037262128
                   8.228                    -0.037366848
                   8.232                    -0.037472336
                   8.236                    -0.037578601
                    8.24                    -0.037685654
                   8.244                    -0.037793505
                   8.248                    -0.037902164
                   8.252                    -0.038011641
                   8.256                    -0.038121947
                    8.26                    -0.038233093
                   8.264                     -0.03834509
                   8.268                    -0.038457948
                   8.272                     -0.03857168
                   8.276                    -0.038686297
                    8.28                     -0.03880181
                   8.284                    -0.038918231
                   8.288                    -0.039035573
                   8.292                    -0.039153848
                   8.296                    -0.039273067
                     8.3                    -0.039393245
                   8.304                    -0.039514394
                   8.308                    -0.039636527
                   8.312                    -0.039759657
                   8.316                    -0.039883798
                    8.32                    -0.040008965
                   8.324                     -0.04013517
                   8.328                     -0.04026243
                   8.332                    -0.040390757
                   8.336                    -0.040520167
                    8.34                    -0.040650675
                   8.344                    -0.040782297
                   8.348                    -0.040915048
                   8.352                    -0.041048944
                   8.356                    -0.041184001
                    8.36                    -0.041320237
                   8.364                    -0.041457667
                   8.368                    -0.041596309
                   8.372                     -0.04173618
                   8.376                    -0.041877299
                    8.38                    -0.042019683
                   8.384                     -0.04216335
                   8.388                     -0.04230832
                   8.392                    -0.042454612
                   8.396                    -0.042602245
                     8.4                    -0.042751239
                   8.404                    -0.042901614
                   8.408                    -0.043053391
                   8.412                    -0.043206591
                   8.416                    -0.043361235
                    8.42                    -0.043517345
                   8.424                    -0.043674944
                   8.428                    -0.043834053
                   8.432                    -0.043994697
                   8.436                    -0.044156899
                    8.44                    -0.044320682
                   8.444                    -0.044486072
                   8.448                    -0.044653092
                   8.452                     -0.04482177
                   8.456                     -0.04499213
                    8.46                      -0.0451642
                   8.464                    -0.045338005
                   8.468                    -0.045513575
                   8.472                    -0.045690936
                   8.476                    -0.045870118
                    8.48                    -0.046051151
                   8.484                    -0.046234063
                   8.488                    -0.046418885
                   8.492                    -0.046605649
                   8.496                    -0.046794386
                     8.5                    -0.046985129
                   8.504                    -0.047177911
                   8.508                    -0.047372766
                   8.512                    -0.047569728
                   8.516                    -0.047768833
                    8.52                    -0.047970116
                   8.524                    -0.048173614
                   8.528                    -0.048379366
                   8.532                    -0.048587409
                   8.536                    -0.048797782
                    8.54                    -0.049010527
                   8.544                    -0.049225683
                   8.548                    -0.049443292
                   8.552                    -0.049663398
                   8.556                    -0.049886044
                    8.56                    -0.050111275
                   8.564                    -0.050339136
                   8.568                    -0.050569675
                   8.572                    -0.050802939
                   8.576                    -0.051038977
                    8.58                    -0.051277838
                   8.584                    -0.051519575
                   8.588                     -0.05176424
                   8.592                    -0.052011885
                   8.596                    -0.052262566
                     8.6                     -0.05251634
                   8.604                    -0.052773262
                   8.608                    -0.053033393
                   8.612                    -0.053296791
                   8.616                     -0.05356352
                    8.62                    -0.053833641
                   8.624                     -0.05410722
                   8.628                    -0.054384322
                   8.632                    -0.054665015
                   8.636                    -0.054949369
                    8.64                    -0.055237454
                   8.644                    -0.055529344
                   8.648                    -0.055825113
                   8.652                    -0.056124838
                   8.656                    -0.056428596
                    8.66                    -0.056736469
                   8.664                     -0.05704854
                   8.668                    -0.057364891
                   8.672                     -0.05768561
                   8.676                    -0.058010787
                    8.68                    -0.058340512
                   8.684                    -0.058674878
                   8.688                    -0.059013983
                   8.692                    -0.059357923
                   8.696                    -0.059706802
                     8.7                    -0.060060721
                   8.704                    -0.060419789
                   8.708                    -0.060784114
                   8.712                    -0.061153809
                   8.716                     -0.06152899
                    8.72                    -0.061909774
                   8.724                    -0.062296284
                   8.728                    -0.062688646
                   8.732                    -0.063086987
                   8.736                     -0.06349144
                    8.74                    -0.063902142
                   8.744                    -0.064319231
                   8.748                    -0.064742853
                   8.752                    -0.065173154
                   8.756                    -0.065610287
                    8.76                    -0.066054409
                   8.764                     -0.06650568
                   8.768                    -0.066964267
                   8.772                     -0.06743034
                   8.776                    -0.067904076
                    8.78                    -0.068385654
                   8.784                    -0.068875262
                   8.788                    -0.069373091
                   8.792                     -0.06987934
                   8.796                    -0.070394212
                     8.8                    -0.070917917
                   8.804                    -0.071450673
                   8.808                    -0.071992701
                   8.812                    -0.072544234
                   8.816                    -0.073105508
                    8.82                    -0.073676768
                   8.824                    -0.074258268
                   8.828                    -0.074850268
                   8.832                    -0.075453039
                   8.836                    -0.076066857
                    8.84                    -0.076692011
                   8.844                    -0.077328798
                   8.848                    -0.077977523
                   8.852                    -0.078638505
                   8.856                     -0.07931207
                    8.86                    -0.079998557
                   8.864                    -0.080698316
                   8.868                    -0.081411709
                   8.872                    -0.082139112
                   8.876                    -0.082880911
                    8.88                    -0.083637509
                   8.884                     -0.08440932
                   8.888                    -0.085196775
                   8.892                    -0.086000319
                   8.896                    -0.086820413
                     8.9                    -0.087657538
                   8.904                    -0.088512188
                   8.908                    -0.089384877
                   8.912                    -0.090276139
                   8.916                    -0.091186527
                    8.92                    -0.092116615
                   8.924                       -0.093067
                   8.928                    -0.094038299
                   8.932                    -0.095031155
                   8.936                    -0.096046236
                    8.94                    -0.097084235
                   8.944                    -0.098145874
                   8.948                    -0.099231902
                   8.952                      -0.1003431
                   8.956                     -0.10148028
                    8.96                     -0.10264428
                   8.964                     -0.10383598
                   8.968                     -0.10505631
                   8.972                     -0.10630621
                   8.976                     -0.10758667
                    8.98                     -0.10889874
                   8.984                     -0.11024349
                   8.988                     -0.11162205
                   8.992                      -0.1130356
                   8.996                     -0.11448537
                       9                     -0.11597264
                   9.004                     -0.11749874
                   9.008                     -0.11906508
                   9.012                     -0.12067313
                   9.016                     -0.12232441
                    9.02                     -0.12402054
                   9.024                     -0.12576318
                   9.028                     -0.12755409
                   9.032                     -0.12939512
                   9.036                      -0.1312882
                    9.04                     -0.13323535
                   9.044                     -0.13523869
                   9.048                     -0.13730046
                   9.052                     -0.13942299
                   9.056                     -0.14160875
                    9.06                     -0.14386031
                   9.064                      -0.1461804
                   9.068                     -0.14857188
                   9.072                     -0.15103776
                   9.076                     -0.15358121
                    9.08                     -0.15620557
                   9.084                     -0.15891438
                   9.088                     -0.16171133
                   9.092                     -0.16460037
                   9.096                     -0.16758564
                     9.1                     -0.17067152
                   9.104                     -0.17386265
                   9.108                     -0.17716392
                   9.112                     -0.18058053
                   9.116                     -0.18411798
                    9.12                     -0.18778211
                   9.124                      -0.1915791
                   9.128                     -0.19551552
                   9.132                     -0.19959835
                   9.136                     -0.20383501
                    9.14                      -0.2082334
                   9.144                     -0.21280192
                   9.148                     -0.21754953
                   9.152                      -0.2224858
                   9.156                     -0.22762091
                    9.16                     -0.23296576
                   9.164                       -0.238532
                   9.168                     -0.24433209
                   9.172                     -0.25037937
                   9.176                     -0.25668817
                    9.18                     -0.26327383
                   9.184                     -0.27015285
                   9.188                     -0.27734295
                   9.192                     -0.28486323
                   9.196                     -0.29273424
                     9.2                     -0.30097816
                   9.204                     -0.30961893
                   9.208                     -0.31868243
                   9.212                     -0.32819668
                   9.216                     -0.33819201
                    9.22                     -0.34870136
                   9.224                     -0.35976048
                   9.228                     -0.37140827
                   9.232                      -0.3836871
                   9.236                     -0.39664316
                    9.24                     -0.41032693
                   9.244                     -0.42479358
                   9.248                     -0.44010359
                   9.252                      -0.4563233
                   9.256                      -0.4735256
                    9.26                     -0.49179074
                   9.264                     -0.51120721
                   9.268                     -0.53187275
                   9.272                     -0.55389553
                   9.276                     -0.57739546
                    9.28                     -0.60250576
                   9.284                     -0.62937473
                   9.288                     -0.65816778
                   9.292                      -0.6890698
                   9.296                     -0.72228795
                     9.3                     -0.75805483
                   9.304                     -0.79663227
                   9.308                     -0.83831567
                   9.312                     -0.88343921
                   9.316                     -0.93238191
                    9.32                      -0.9855748
                   9.324                      -1.0435094
                   9.328                      -1.1067481
                   9.332                      -1.1759358
                   9.336                      -1.2518146
                    9.34                      -1.3352416
                   9.344                      -1.4272092
                   9.348                       -1.528871
                   9.352                      -1.6415724
                   9.356                      -1.7668888
                    9.36                      -1.9066714
                   9.364                      -2.0631049
                   9.368                      -2.2387778
                   9.372                      -2.4367715
                   9.376                      -2.6607717
                    9.38                      -2.9152096
                   9.384                      -3.2054447
                   9.388                      -3.5380014
                   9.392                       -3.920885
                   9.396                      -4.3640087
                     9.4                      -4.8797911
                   9.404                      -5.4840162
                   9.408                      -6.1971251
                   9.412                      -7.0462422
                   9.416                      -8.0685183
                    9.42                      -9.3169572
                   9.424                      -10.871142
                   9.428                      -12.857797
                   9.432                      -15.487768
                   9.436                      -19.060755
                    9.44                      -22.937603
                   9.444                      -21.741426
                   9.448                      -17.645521
                   9.452                      -14.429888
                   9.456                      -12.051539
                    9.46                      -10.229607
                   9.464                      -8.7885866
                   9.468                      -7.6219144
                   9.472                      -6.6611933
                   9.476                      -5.8599354
                    9.48                      -5.1849987
                   9.484                      -4.6118501
                   9.488                      -4.1217955
                   9.492                       -3.700272
                   9.496                       -3.335741
                     9.5                      -3.0189393
                   9.504                      -2.7423527
                   9.508                      -2.4998339
                   9.512                      -2.2863187
                   9.516                       -2.097609
                    9.52                      -1.9302064
                   9.524                      -1.7811809
                   9.528                      -1.6480675
                   9.532                      -1.5287837
                   9.536                      -1.4215627
                    9.54                      -1.3249001
                   9.544                        -1.23751
                   9.548                      -1.1582891
                   9.552                      -1.0862879
                   9.556                      -1.0206863
                    9.56                     -0.96077357
                   9.564                      -0.9059321
                   9.568                      -0.8556233
                   9.572                     -0.80937627
                   9.576                     -0.76677804
                    9.58                     -0.72746548
                   9.584                      -0.6911184
                   9.588                     -0.65745377
                   9.592                     -0.62622076
                   9.596                     -0.59719654
                     9.6                      -0.5701827
                   9.604                     -0.54500215
                   9.608                     -0.52149651
                   9.612                     -0.49952382
                   9.616                     -0.47895655
                    9.62                     -0.45967995
                   9.624                     -0.44159053
                   9.628                     -0.42459481
                   9.632                     -0.40860818
                   9.636                     -0.39355393
                    9.64                     -0.37936239
                   9.644                     -0.36597019
                   9.648                     -0.35331957
                   9.652                     -0.34135785
                   9.656                     -0.33003687
                    9.66                     -0.31931254
                   9.664                     -0.30914447
                   9.668                     -0.29949557
                   9.672                     -0.29033177
                   9.676                      -0.2816217
                    9.68                     -0.27333647
                   9.684                     -0.26544942
                   9.688                     -0.25793593
                   9.692                     -0.25077323
                   9.696                     -0.24394026
                     9.7                     -0.23741748
                   9.704                      -0.2311868
                   9.708                     -0.22523142
                   9.712                     -0.21953575
                   9.716                     -0.21408531
                    9.72                     -0.20886675
                   9.724                     -0.20386775
                   9.728                     -0.19907721
                   9.732                     -0.19448559
                   9.736                     -0.19008601
                    9.74                     -0.18587729
                   9.744                     -0.18187069
                   9.748                     -0.17807881
                   9.752                     -0.17438811
                   9.756                     -0.17070023
                    9.76                     -0.16714255
                   9.764                     -0.16374499
                   9.768                     -0.16049006
                   9.772                     -0.15736296
                   9.776                     -0.15435359
                    9.78                     -0.15145441
                   9.784                     -0.14865928
                   9.788                     -0.14596286
                   9.792                     -0.14336037
                   9.796                     -0.14084743
                     9.8                     -0.13841995
                   9.804                     -0.13607414
                   9.808                     -0.13380642
                   9.812                     -0.13161343
                   9.815                     -0.13001581
                   9.816                     -0.12949199
                    9.82                      -0.1274391
                   9.824                     -0.12545192
                   9.828                     -0.12352775
                   9.832                     -0.12166404
                   9.836                     -0.11985835
                    9.84                     -0.11810838
                   9.844                     -0.11641194
                   9.848                     -0.11476694
                   9.852                     -0.11317141
                   9.856                     -0.11162344
                    9.86                     -0.11012123
                   9.864                     -0.10866308
                   9.868                     -0.10724734
                   9.872                     -0.10587245
                   9.876                     -0.10453692
                    9.88                     -0.10323933
                   9.884                     -0.10197831
                   9.888                     -0.10075256
                   9.892                    -0.099560845
                   9.896                     -0.09840197
                     9.9                      -0.0972748
                   9.904                    -0.096178243
                   9.908                    -0.095111257
                   9.912                    -0.094072843
                   9.916                    -0.093062042
                    9.92                    -0.092077937
                   9.924                    -0.091119648
                   9.928                    -0.090186329
                   9.932                     -0.08927717
                   9.936                    -0.088391393
                    9.94                    -0.087528251
                   9.944                    -0.086687026
                   9.948                    -0.085867029
                   9.952                    -0.085067597
                   9.956                    -0.084288093
                    9.96                    -0.083527904
                   9.964                     -0.08278644
                   9.968                    -0.082063134
                   9.972                    -0.081357441
                   9.976                    -0.080668834
                    9.98                    -0.079996807
                   9.984                    -0.079340872
                   9.988                    -0.078700559
                   9.992                    -0.078075415
                   9.996                    -0.077465003
                      10                    -0.076868902
                  10.004                    -0.076286706
                  10.008                    -0.075718023
                  10.012                    -0.075162473
                  10.016                    -0.074619692
                   10.02                    -0.074089328
                  10.024                    -0.073571039
                  10.028                    -0.073064496
                  10.032                    -0.072569382
                  10.036                    -0.072085389
                   10.04                     -0.07161222
                  10.044                    -0.071149589
                  10.048                    -0.070697217
                  10.052                    -0.070254835
                  10.056                    -0.069822184
                   10.06                    -0.069399012
                  10.064                    -0.068985076
                  10.068                     -0.06858014
                  10.072                    -0.068183976
                  10.076                    -0.067796362
                   10.08                    -0.067417085
                  10.084                    -0.067045938
                  10.088                    -0.066682718
                  10.092                    -0.066327232
                  10.096                     -0.06597929
                    10.1                    -0.065638709
                  10.104                    -0.065305312
                  10.108                    -0.064978926
                  10.112                    -0.064659385
                  10.116                    -0.064346525
                   10.12                    -0.064040191
                  10.124                    -0.063740228
                  10.128                    -0.063446489
                  10.132                    -0.063158829
                  10.136                     -0.06287711
                   10.14                    -0.062601195
                  10.144                    -0.062330951
                  10.148                    -0.062066252
                  10.152                    -0.061806972
                  10.156                    -0.061552991
                   10.16                     -0.06130419
                  10.164                    -0.061060455
                  10.168                    -0.060821676
                  10.172                    -0.060587744
                  10.176                    -0.060358553
                   10.18                    -0.060134001
                  10.184                     -0.05991399
                  10.188                    -0.059698421
                  10.192                    -0.059487201
                  10.196                    -0.059280238
                    10.2                    -0.059077442
                  10.204                    -0.058878727
                  10.208                    -0.058684008
                  10.212                    -0.058493203
                  10.216                     -0.05830623
                   10.22                    -0.058123012
                  10.224                    -0.057943473
                  10.228                    -0.057767538
                  10.232                    -0.057595136
                  10.236                    -0.057426194
                   10.24                    -0.057260646
                  10.244                    -0.057098423
                  10.248                    -0.056939461
                  10.252                    -0.056783695
                  10.256                    -0.056631064
                   10.26                    -0.056481507
                  10.264                    -0.056334965
                  10.268                     -0.05619138
                  10.272                    -0.056050695
                  10.276                    -0.055912858
                   10.28                    -0.055777812
                  10.284                    -0.055645507
                  10.288                    -0.055515891
                  10.292                    -0.055388915
                  10.296                     -0.05526453
                    10.3                    -0.055142688
                  10.304                    -0.055023343
                  10.308                     -0.05490645
                  10.312                    -0.054791964
                  10.316                    -0.054679843
                   10.32                    -0.054570045
                  10.324                    -0.054462527
                  10.328                    -0.054357251
                  10.332                    -0.054254175
                  10.336                    -0.054153263
                   10.34                    -0.054054477
                  10.344                    -0.053957779
                  10.348                    -0.053863135
                  10.352                    -0.053770508
                  10.356                    -0.053679864
                   10.36                    -0.053591171
                  10.364                    -0.053504395
                  10.368                    -0.053419504
                  10.372                    -0.053336467
                  10.376                    -0.053255254
                   10.38                    -0.053175833
                  10.384                    -0.053098176
                  10.388                    -0.053022255
                  10.392                     -0.05294804
                  10.396                    -0.052875505
                    10.4                    -0.052804623
                  10.404                    -0.052735367
                  10.408                    -0.052667712
                  10.412                    -0.052601632
                  10.416                    -0.052537102
                   10.42                      -0.0524741
                  10.424                      -0.0524126
                  10.428                     -0.05235258
                  10.432                    -0.052294017
                  10.436                     -0.05223689
                   10.44                    -0.052181175
                  10.444                    -0.052126852
                  10.448                    -0.052073901
                  10.452                      -0.0520223
                  10.456                     -0.05197203
                   10.46                    -0.051923071
                  10.464                    -0.051875403
                  10.468                     -0.05182901
                  10.472                     -0.05178387
                  10.476                    -0.051739968
                   10.48                    -0.051697284
                  10.484                    -0.051655803
                  10.488                    -0.051615506
                  10.492                    -0.051576377
                  10.496                      -0.0515384
                    10.5                    -0.051501559
                  10.504                    -0.051465838
                  10.508                    -0.051431222
                  10.512                    -0.051397695
                  10.516                    -0.051365244
                   10.52                    -0.051333854
                  10.524                     -0.05130351
                  10.528                    -0.051274198
                  10.532                    -0.051245906
                  10.536                    -0.051218619
                   10.54                    -0.051192325
                  10.544                    -0.051167011
                  10.548                    -0.051142663
                  10.552                    -0.051119271
                  10.556                    -0.051096821
                   10.56                    -0.051075302
                  10.564                    -0.051054702
                  10.568                     -0.05103501
                  10.572                    -0.051016215
                  10.576                    -0.050998305
                   10.58                     -0.05098127
                  10.584                      -0.0509651
                  10.588                    -0.050949783
                  10.592                    -0.050935311
                  10.596                    -0.050921672
                    10.6                    -0.050908857
                  10.604                    -0.050896857
                  10.608                    -0.050885662
                  10.612                    -0.050875262
                  10.616                     -0.05086565
                   10.62                    -0.050856815
                  10.624                     -0.05084875
                  10.628                    -0.050841446
                  10.632                    -0.050834894
                  10.636                    -0.050829086
                   10.64                    -0.050824014
                  10.644                     -0.05081967
                  10.648                    -0.050816047
                  10.652                    -0.050813137
                  10.656                    -0.050810932
                   10.66                    -0.050809426
                  10.664                     -0.05080861
                  10.668                    -0.050808478
                  10.672                    -0.050809023
                  10.676                    -0.050810238
                   10.68                    -0.050812117
                  10.684                    -0.050814653
                  10.688                     -0.05081784
                  10.692                    -0.050821671
                  10.696                     -0.05082614
                    10.7                    -0.050831242
                  10.704                     -0.05083697
                  10.708                    -0.050843319
                  10.712                    -0.050850283
                  10.716                    -0.050857856
                   10.72                    -0.050866033
